original_filename,operator,detail,dest_path,size_bytes
04088374-Mendota_PL_2026-06.csv,Allure,Income Statement Trending Detail - GGM,data/raw/allure/04088374-Mendota_PL_2026-06.csv,22283
0554e3fe-St_Elmo_T12__Budget_05.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/0554e3fe-St_Elmo_T12__Budget_05.2025.xlsx,41492
0557989f-Meadowbrook_T12__Budget_03.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/0557989f-Meadowbrook_T12__Budget_03.2026.xlsx,61595
067eff45-Lincoln_Income_Statement__by_Facility_Preliminary_1.31.26.xlsx,Lincoln,Multi-facility income statement by facility,data/raw/lincoln/067eff45-Lincoln_Income_Statement__by_Facility_Preliminary_1.31.26.xlsx,15322
078d20de-10.31.25_Petersen_Financial_Statements_-_MTD_Only.xls,Curis,Petersen Group consolidated statement,data/raw/curis/078d20de-10.31.25_Petersen_Financial_Statements_-_MTD_Only.xls,93118
0bdd32b0-2025_YE_Peru_Financial_Statements.xlsx,Allure,Income Statement Trending Detail - GGM,data/raw/allure/0bdd32b0-2025_YE_Peru_Financial_Statements.xlsx,130284
0d46ccab-Meadowbrook_T12__Budget_vs_Actual_03.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/0d46ccab-Meadowbrook_T12__Budget_vs_Actual_03.2025.xlsx,44608
0e91e018-Bement_T12__Budget_01.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/0e91e018-Bement_T12__Budget_01.2026.xlsx,53920
1038ca53-Arcola_T12__Budget_05.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/1038ca53-Arcola_T12__Budget_05.2026.xlsx,62591
104c1d3e-Arcola_T12__Budget_03.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/104c1d3e-Arcola_T12__Budget_03.2026.xlsx,62772
125dde64-Tuscola_T12__Budget_08.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/125dde64-Tuscola_T12__Budget_08.2025.xlsx,58745
13485915-Arcola_T12__Budget_vs_Actual_01.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/13485915-Arcola_T12__Budget_vs_Actual_01.2025.xlsx,38933
14ed4659-Farmer_City_T12__Budget_03.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/14ed4659-Farmer_City_T12__Budget_03.2026.xlsx,56237
150dd2b3-Bement_T12__Budget_vs_Actual_01.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/150dd2b3-Bement_T12__Budget_vs_Actual_01.2025.xlsx,37801
1596e7fa-06.30.25_Petersen_Financial_Statements_-_MTD_Only.xls,Curis,Petersen Group consolidated statement,data/raw/curis/1596e7fa-06.30.25_Petersen_Financial_Statements_-_MTD_Only.xls,96776
1a044c05-07.31.25_Petersen_Financial_Statements_-_MTD_Only.xls,Curis,Petersen Group consolidated statement,data/raw/curis/1a044c05-07.31.25_Petersen_Financial_Statements_-_MTD_Only.xls,101376
1bc32af7-02.28.26_Petersen_Financial_Statements_-_MTD_Only_NO_ADDBACKS.xls,Curis,Petersen Group consolidated statement,data/raw/curis/1bc32af7-02.28.26_Petersen_Financial_Statements_-_MTD_Only_NO_ADDBACKS.xls,90901
1cefcbb3-202607_Aliya_of_Palatine.xlsx,Aliya,ALIYA HEALTHCARE CONSULTING LLC multi-sheet workbook (Balance Sheet + P&L Trailing YTD Detailed),data/raw/aliya/1cefcbb3-202607_Aliya_of_Palatine.xlsx,91227
1e44ee27-Lincoln_Income_Statement__by_Facility_Preliminary_2.28.25.xlsx,Lincoln,Multi-facility income statement by facility,data/raw/lincoln/1e44ee27-Lincoln_Income_Statement__by_Facility_Preliminary_2.28.25.xlsx,15116
1f82689a-South_Elgin_PL_02282026.xlsm,Lineage,Facility PL export (.xlsm),data/raw/lineage/1f82689a-South_Elgin_PL_02282026.xlsm,342469
20a8893e-St_Elmo_T12__Budget_01.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/20a8893e-St_Elmo_T12__Budget_01.2026.xlsx,60554
23039204-Farmer_City_T12__Budget_vs_Actual_03.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/23039204-Farmer_City_T12__Budget_vs_Actual_03.2025.xlsx,44731
23300cb7-Lincoln_Income_Statement__by_Facility_Preliminary_5.31.26.xlsx,Lincoln,Multi-facility income statement by facility,data/raw/lincoln/23300cb7-Lincoln_Income_Statement__by_Facility_Preliminary_5.31.26.xlsx,17775
23a75132-Bridgeport_T12__Budget_06.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/23a75132-Bridgeport_T12__Budget_06.2025.xlsx,44722
24a4e791-Farmer_City_T12__Budget_vs_Actual_02.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/24a4e791-Farmer_City_T12__Budget_vs_Actual_02.2025.xlsx,41188
28350f93-Meadowbrook_T12__Budget_08.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/28350f93-Meadowbrook_T12__Budget_08.2025.xlsx,56885
2a259038-Bridgeport_T12__Budget_07.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/2a259038-Bridgeport_T12__Budget_07.2025.xlsx,46607
2aa6186c-Farmer_City_T12__Budget_05.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/2aa6186c-Farmer_City_T12__Budget_05.2025.xlsx,50161
2b564fd8-Lincoln_Income_Statement__by_Facility_Preliminary_4.30.26.xlsx,Lincoln,Multi-facility income statement by facility,data/raw/lincoln/2b564fd8-Lincoln_Income_Statement__by_Facility_Preliminary_4.30.26.xlsx,14471
2bba6968-Tuscola_T12__Budget_12.2024.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/2bba6968-Tuscola_T12__Budget_12.2024.xlsx,36473
2cc688e1-St_Elmo_T12__Budget_10.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/2cc688e1-St_Elmo_T12__Budget_10.2025.xlsx,53356
2d4a7c3e-Lincoln_Income_Statement__by_Facility_Preliminary_11.30.25.xlsx,Lincoln,Multi-facility income statement by facility,data/raw/lincoln/2d4a7c3e-Lincoln_Income_Statement__by_Facility_Preliminary_11.30.25.xlsx,15252
2e4cf510-Meadowbrook_T12__Budget_06.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/2e4cf510-Meadowbrook_T12__Budget_06.2025.xlsx,52606
2ed05d5f-Lincoln_Income_Statement__by_Facility_Preliminary_4.30.25.xlsx,Lincoln,Multi-facility income statement by facility,data/raw/lincoln/2ed05d5f-Lincoln_Income_Statement__by_Facility_Preliminary_4.30.25.xlsx,15374
2fa1f8bc-Farmer_City_T12__Budget_12.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/2fa1f8bc-Farmer_City_T12__Budget_12.2025.xlsx,62846
