,Income Statement Trending Detail - GGM,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/1/2025 to 6/30/2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Include Closing Periods: NO,,,,,,,,,,,,,,,,,,,,,,,,,
Included:,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allure of Mendota,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,July 25_Actual $,July 25_Actual / Day,August 25_Actual $,August 25_Actual / Day,September 25_Actual $,September 25_Actual / Day,October 25_Actual $,October 25_Actual / Day,November 25_Actual $,November 25_Actual / Day,December 25_Actual $,December 25_Actual / Day,January 26_Actual $,January 26_Actual / Day,February 26_Actual $,February 26_Actual / Day,March 26_Actual $,March 26_Actual / Day,April 26_Actual $,April 26_Actual / Day,May 26_Actual $,May 26_Actual / Day,June 26_Actual $,June 26_Actual / Day,TOTALS_Actual $,TOTALS_Actual / Day
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,
   Medicaid,"247,975",274.92,"245,335",275.04,"233,999",275.29,"215,847",263.23,"220,232",263.44,"247,671",263.48,"242,521",266.51,"197,986",266.47,"256,942",265.99,"235,115",273.39,"263,953",273.24,"236,075",273.55,"2,843,653",269.59
   Hospice,"55,339",275.32,"49,039",275.5,"41,849",275.32,"32,408",263.48,"32,444",263.77,"34,469",265.15,"24,524",266.57,"17,960",264.11,"19,460",266.57,"24,631",273.68,"25,452",273.68,"31,747",273.68,"389,322",270.55
   Medicare A,"151,886",657.52,"177,621",650.63,"139,151",635.39,"195,904",684.98,"247,749",684.39,"215,070",670,"279,053",648.96,"238,573",670.15,"255,228",695.44,"161,069",682.49,"123,503",667.58,"133,560",664.48,"2,318,366",668.7
   Commercial Insurance,"34,658",427.88,"50,723",415.77,"33,819",397.87,"43,126",495.7,"49,310",513.65,"34,790",457.76,"28,644",427.52,"26,448",413.25,"35,702",401.15,"43,943",399.48,"44,552",397.78,"56,377",430.36,"482,094",430.44
   Private Pay,"155,525",293.44,"154,739",298.72,"175,800",303.1,"195,215",309.87,"199,705",315.99,"160,433",320.87,"177,248",313.16,"187,715",310.79,"157,001",331.23,"167,607",318.64,"188,157",310.49,"204,376",309.19,"2,123,520",311.05
   Veteran Affairs,"46,953",484.06,"45,584",490.15,"47,314",498.04,"55,399",537.86,"84,529",559.79,"102,038",586.42,"64,265",756.05,"32,409",578.73,"43,657",574.43,"46,793",570.65,"70,704",614.82,"40,701",542.68,"680,345",566.01
   Medicare / Managed Care B,"18,343",,"21,944",,"28,723",,-310,,"19,799",,"13,959",,"15,409",,"18,951",,"29,365",,"27,624",,"30,503",,"33,244",,"257,555",
   Private Pay Independent Living,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
   Home Care Income,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
   Daily Training Program,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
   Other,"3,744",,359,,75,,110,,449,,"2,523",,540,,221,,374,,7,,148,,226,,"8,775",
   Stimulus Income,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
   Incentive Payments,"14,834",7.26,"14,834",7.15,"14,834",7.49,"14,834",7.24,"12,185",5.54,"13,509",6.31,"13,868",6.45,"13,868",7.33,"13,868",6.78,"15,407",8.09,"15,407",7.42,"15,407",7.53,"172,855",7.03
TOTAL Revenue,"729,259",357.13,"760,178",366.17,"715,564",361.21,"752,533",367.27,"866,401",393.82,"824,462",385.08,"846,072",393.52,"734,131",388.22,"811,597",396.87,"722,196",379.3,"762,379",367.06,"751,713",367.23,"9,276,484",377.05
Patient Days,,,,,,,,,,,,,,,,,,,,,,,,,,
   Medicaid,902,,892,,850,,820,,836,,940,,908,,744,,966,,860,,966,,863,,"10,547",
   Hospice,201,,178,,152,,123,,123,,130,,92,,68,,73,,90,,93,,116,,"1,439",
   Medicare A,231,,273,,219,,286,,362,,321,,430,,356,,367,,236,,185,,201,,"3,467",
   Commercial Insurance,81,,122,,85,,87,,96,,76,,67,,64,,89,,110,,112,,131,,"1,120",
   Private Pay,530,,518,,574,,625,,621,,500,,566,,599,,465,,526,,606,,657,,"6,787",
   Veteran Affairs,97,,93,,95,,103,,151,,174,,85,,56,,76,,82,,115,,75,,"1,202",
   Independent Living,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
TOTAL Patient Days,"2,042",,"2,076",,"1,975",,"2,044",,"2,189",,"2,141",,"2,148",,"1,887",,"2,036",,"1,904",,"2,077",,"2,043",,"24,562",
Nursing & Medical,,,,,,,,,,,,,,,,,,,,,,,,,,
   Director Of Nursing,"7,791",3.82,"8,314",4,"6,326",3.19,582,0.28,"6,044",2.75,"8,401",3.92,"8,517",3.96,"7,868",4.16,"7,071",3.46,604,0.32,"8,419",4.05,"7,319",3.58,"77,258",3.14
   Assistant Director Of Nursing,"7,121",3.49,"7,511",3.62,"6,185",3.12,"6,648",3.24,"8,798",4,"6,835",3.19,"5,405",2.51,"3,440",1.82,"6,905",3.38,"6,751",3.55,"7,101",3.42,"7,199",3.52,"79,900",3.25
   Payroll RN,"47,170",23.1,"58,739",28.29,"43,595",22.01,"43,833",21.39,"58,795",26.73,"61,609",28.78,"65,735",30.57,"50,586",26.75,"54,035",26.42,"57,445",30.17,"58,217",28.03,"59,841",29.23,"659,601",26.81
   Payroll LPN,"28,336",13.88,"35,050",16.88,"33,980",17.15,"40,809",19.92,"33,251",15.11,"28,004",13.08,"26,342",12.25,"20,236",10.7,"25,717",12.58,"29,012",15.24,"32,877",15.83,"27,267",13.32,"360,880",14.67
   Payroll Aides & Orderlies,"124,434",60.94,"128,792",62.04,"119,512",60.33,"124,271",60.65,"127,071",57.76,"132,797",62.03,"126,495",58.83,"117,443",62.11,"120,329",58.84,"110,058",57.8,"124,502",59.94,"118,023",57.66,"1,473,726",59.9
   Payroll Nursing Clerical,"8,023",3.93,"8,524",4.11,"7,331",3.7,"8,150",3.98,"7,947",3.61,"7,978",3.73,"8,974",4.17,"7,624",4.03,"8,229",4.02,"8,087",4.25,"8,590",4.14,"7,619",3.72,"97,076",3.95
   Payroll Medical Records,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Contract RN,"24,084",11.79,"13,176",6.35,"17,013",8.59,"11,380",5.55,"8,419",3.83,"11,789",5.51,"14,762",6.87,"22,714",12.01,"32,092",15.69,"16,071",8.44,"14,807",7.13,"11,480",5.61,"197,787",8.04
   Contract LPN,"14,360",7.03,"8,696",4.19,"2,706",1.37,"1,638",0.8,"1,029",0.47,"1,252",0.58,"1,583",0.74,"1,303",0.69,996,0.49,577,0.3,"1,843",0.89,"1,630",0.8,"37,612",1.53
   Contract Aides & Orderlies,0,0,"1,382",0.67,"3,144",1.59,"2,758",1.35,"1,092",0.5,"1,666",0.78,"2,315",1.08,"14,148",7.48,"1,117",0.55,71,0.04,0,0,"2,260",1.1,"29,952",1.22
   Medical Supplies,"8,999",4.41,"7,452",3.59,"6,623",3.34,"9,422",4.6,"7,147",3.25,"6,149",2.87,"7,931",3.69,"7,632",4.04,"8,776",4.29,"6,590",3.46,"9,264",4.46,"7,572",3.7,"93,558",3.8
   Covid-19 Medical Supplies,"1,758",0.86,-64,-0.03,"1,704",0.86,"1,836",0.9,296,0.13,"1,148",0.54,779,0.36,"1,730",0.91,"1,278",0.62,730,0.38,644,0.31,0,0,"11,838",0.48
   Nurse Consultant,"9,801",4.8,"9,891",4.76,"8,209",4.14,"9,831",4.8,"10,189",4.63,"9,891",4.62,"11,341",5.27,"11,411",6.03,"13,112",6.41,"11,421",6,"11,371",5.47,"11,391",5.56,"127,858",5.2
   Medical Director,"2,323",1.14,"2,000",0.96,"2,000",1.01,0,0,"2,000",0.91,"4,000",1.87,"2,000",0.93,"2,000",1.06,"2,000",0.98,"2,000",1.05,"2,000",0.96,"2,000",0.98,"24,323",0.99
   Covid-19 Telehealth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Drugs House Stock,"1,178",0.58,973,0.47,903,0.46,"1,747",0.85,0,0,0,0,522,0.24,"1,522",0.8,769,0.38,"1,021",0.54,849,0.41,374,0.18,"9,858",0.4
   Drugs Other,0,0,618,0.3,"1,453",0.73,633,0.31,0,0,0,0,364,0.17,719,0.38,329,0.16,693,0.36,420,0.2,"1,008",0.49,"6,238",0.25
   DME Rental,"2,498",1.22,"1,185",0.57,"1,349",0.68,"1,122",0.55,"1,084",0.49,"1,365",0.64,"1,321",0.61,976,0.52,"1,177",0.58,"1,274",0.67,"1,033",0.5,"1,032",0.5,"15,417",0.63
   Oxygen,"6,024",2.95,4,0,145,0.07,203,0.1,326,0.15,992,0.46,"1,354",0.63,410,0.22,"1,306",0.64,761,0.4,"1,221",0.59,"3,144",1.54,"15,892",0.65
   Ambulance Expense,164,0.08,166,0.08,-227,-0.11,"1,415",0.69,593,0.27,740,0.35,187,0.09,472,0.25,548,0.27,486,0.26,641,0.31,"1,514",0.74,"6,697",0.27
   Respiratory Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL Nursing & Medical,"294,063",144.01,"292,411",140.85,"261,950",132.23,"266,279",129.96,"274,080",124.58,"284,615",132.94,"285,927",132.99,"272,234",143.96,"285,786",139.75,"253,652",133.22,"283,801",136.64,"270,671",132.23,"3,325,469",135.17
Therapy & Ancillary Services,,,,,,,,,,,,,,,,,,,,,,,,,,
