,Income Statement Trending Detail - GGM,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/1/2025 to 6/30/2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Included:,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Allure of Walnut, Allure of Walnut ILF",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,July 25_Actual $,July 25_Actual / Day,August 25_Actual $,August 25_Actual / Day,September 25_Actual $,September 25_Actual / Day,October 25_Actual $,October 25_Actual / Day,November 25_Actual $,November 25_Actual / Day,December 25_Actual $,December 25_Actual / Day,January 26_Actual $,January 26_Actual / Day,February 26_Actual $,February 26_Actual / Day,March 26_Actual $,March 26_Actual / Day,April 26_Actual $,April 26_Actual / Day,May 26_Actual $,May 26_Actual / Day,June 26_Actual $,June 26_Actual / Day,TOTALS_Actual $,TOTALS_Actual / Day
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,
   Medicaid,"141,768",277.43,"150,645",278.46,"124,667",277.66,"127,492",256.01,"91,754",252.07,"173,414",258.06,"146,860",267.5,"177,377",269.98,"150,425",264.83,"140,579",264.74,"137,833",265.06,"134,670",265.1,"1,697,484",266.56
   Hospice,"25,869",278.16,"30,319",278.16,"22,531",278.16,"32,154",257.24,"32,279",256.18,"35,609",256.18,"36,134",267.66,"37,985",267.5,"35,331",267.66,"23,873",265.26,"26,261",265.26,"37,402",265.26,"375,747",266.11
   Medicare A,"62,861",641.44,"81,760",648.89,"143,357",648.68,"149,437",670.12,"150,316",689.52,"86,090",688.72,"54,876",751.72,"59,936",705.13,"92,282",678.54,"37,848",652.56,"57,472",653.09,"112,457",694.18,"1,088,694",674.95
   Commercial Insurance,"6,910",460.68,"3,567",594.42,"2,837",567.32,"8,227",587.66,"2,555",425.77,80,,"19,419",413.16,"26,515",631.31,"44,398",704.73,"50,274",670.32,"19,529",650.95,"8,582",451.7,"192,891",599.04
   Private Pay,"142,563",270,"128,909",288.39,"126,927",289.13,"119,850",289.49,"165,390",288.14,"102,180",290.28,"117,855",289.57,"65,855",295.31,"113,283",289.73,"142,875",288.64,"159,180",288.37,"142,590",288.64,"1,527,456",287.33
   Veteran Affairs,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
   Medicare / Managed Care B,"24,012",,"13,087",,"20,088",,"16,871",,663,,"16,927",,"18,022",,"17,611",,"20,324",,"19,693",,"20,691",,"21,058",,"209,046",
   Private Pay Independent Living,"6,781",,"7,876",,"7,002",,"7,002",,"7,730",,"7,876",,"7,876",,"7,876",,"7,876",,"7,876",,"7,876",,"7,803",,"91,450",
   Home Care Income,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
   Daily Training Program,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
   Other,"1,312",,377,,76,,4,,163,,12,,"5,488",,40,,181,,13,,48,,356,,"8,072",
   Stimulus Income,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
   Incentive Payments,"9,014",6.17,"9,014",6.1,"9,014",6.42,"9,014",6.05,"10,971",7.2,"9,993",6.51,"9,667",6.63,"9,667",7.04,"9,667",6.29,"9,915",6.66,"9,915",6.45,"9,915",6.35,"115,767",6.48
TOTAL Revenue,"421,090",288.02,"425,554",288.12,"456,500",324.91,"470,052",315.26,"461,820",303.03,"432,180",281.37,"416,196",285.26,"402,863",293.42,"473,768",308.04,"432,947",290.76,"438,804",285.49,"474,833",303.99,"5,306,607",297.24
Patient Days,,,,,,,,,,,,,,,,,,,,,,,,,,
   Medicaid,511,,541,,449,,498,,364,,672,,549,,657,,568,,531,,520,,508,,"6,368",
   Hospice,93,,109,,81,,125,,126,,139,,135,,142,,132,,90,,99,,141,,"1,412",
   Medicare A,98,,126,,221,,223,,218,,125,,73,,85,,136,,58,,88,,162,,"1,613",
   Commercial Insurance,15,,6,,5,,14,,6,,0,,47,,42,,63,,75,,30,,19,,322,
   Private Pay,522,,447,,439,,414,,574,,347,,404,,223,,391,,489,,552,,494,,"5,296",
   Veteran Affairs,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
   Independent Living,217,,248,,210,,217,,236,,248,,248,,224,,248,,240,,248,,238,,"2,822",
TOTAL Patient Days,"1,456",,"1,477",,"1,405",,"1,491",,"1,524",,"1,531",,"1,456",,"1,373",,"1,538",,"1,483",,"1,537",,"1,562",,"17,833",
Nursing & Medical,,,,,,,,,,,,,,,,,,,,,,,,,,
   Director Of Nursing,"8,656",5.92,"6,813",4.61,"6,674",4.75,"6,813",4.57,"9,347",6.13,"6,823",4.44,"6,703",4.59,"5,882",4.28,"1,344",0.87,0,0,"4,980",3.24,"3,911",2.5,"67,946",3.81
   Assistant Director Of Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Payroll RN,"19,290",13.19,"21,022",14.23,"21,173",15.07,"20,476",13.73,"22,456",14.74,"21,412",13.94,"16,907",11.59,"14,728",10.73,"19,130",12.44,"19,843",13.33,"20,243",13.17,"20,361",13.04,"237,041",13.28
   Payroll LPN,"26,113",17.86,"25,850",17.5,"25,101",17.87,"25,105",16.84,"24,297",15.94,"30,658",19.96,"29,932",20.52,"26,637",19.4,"28,784",18.72,"25,084",16.85,"26,414",17.19,"27,459",17.58,"321,433",18
   Payroll Aides & Orderlies,"64,448",44.08,"58,756",39.78,"53,365",37.98,"54,629",36.64,"57,615",37.81,"62,082",40.42,"63,237",43.34,"54,227",39.5,"58,353",37.94,"57,724",38.77,"58,296",37.93,"56,667",36.28,"699,399",39.18
   Payroll Nursing Clerical,"6,563",4.49,"6,381",4.32,"6,017",4.28,"6,898",4.63,"6,299",4.13,"7,599",4.95,"7,374",5.05,"7,265",5.29,"8,468",5.51,"7,873",5.29,"8,149",5.3,"8,240",5.28,"87,124",4.88
   Payroll Medical Records,278,0.19,447,0.3,345,0.25,272,0.18,220,0.14,189,0.12,275,0.19,256,0.19,270,0.18,238,0.16,287,0.19,198,0.13,"3,276",0.18
   Contract RN,731,0.5,0,0,0,0,0,0,0,0,520,0.34,"3,250",2.23,"2,893",2.11,"2,505",1.63,"3,240",2.18,"4,221",2.75,"11,850",7.59,"29,209",1.64
   Contract LPN,0,0,0,0,0,0,0,0,0,0,0,0,392,0.27,0,0,0,0,0,0,336,0.22,"1,995",1.28,"2,723",0.15
   Contract Aides & Orderlies,"1,716",1.17,412,0.28,"1,319",0.94,"1,476",0.99,"1,113",0.73,659,0.43,0,0,0,0,0,0,213,0.14,"1,288",0.84,"2,893",1.85,"11,089",0.62
   Medical Supplies,"3,944",2.7,"1,813",1.23,"2,416",1.72,"2,585",1.73,"2,849",1.87,"2,649",1.72,"3,524",2.42,"2,584",1.88,"3,059",1.99,"3,393",2.28,"1,959",1.27,"2,795",1.79,"33,571",1.88
   Covid-19 Medical Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Nurse Consultant,"9,591",6.56,"9,591",6.49,"9,551",6.8,"9,601",6.44,"9,591",6.29,"9,601",6.25,"11,061",7.58,"11,141",8.11,"12,842",8.35,"11,131",7.48,"11,141",7.25,"11,141",7.13,"125,983",7.06
   Medical Director,"2,000",1.37,"2,000",1.35,"2,000",1.42,"2,000",1.34,"2,000",1.31,"2,000",1.3,"2,000",1.37,"2,200",1.6,"2,200",1.43,"2,200",1.48,"2,200",1.43,"2,200",1.41,"25,000",1.4
   Covid-19 Telehealth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Drugs House Stock,512,0.35,136,0.09,265,0.19,125,0.08,132,0.09,11,0.01,501,0.34,"2,272",1.65,822,0.53,746,0.5,516,0.34,776,0.5,"6,813",0.38
   Drugs Other,225,0.15,315,0.21,394,0.28,264,0.18,0,0,0,0,214,0.15,266,0.19,222,0.14,247,0.17,278,0.18,328,0.21,"2,753",0.15
   DME Rental,482,0.33,477,0.32,102,0.07,541,0.36,313,0.21,316,0.21,510,0.35,491,0.36,103,0.07,81,0.05,644,0.42,251,0.16,"4,312",0.24
   Oxygen,340,0.23,0,0,313,0.22,40,0.03,0,0,40,0.03,85,0.06,277,0.2,238,0.16,209,0.14,248,0.16,207,0.13,"1,997",0.11
   Ambulance Expense,0,0,0,0,0,0,2,0,5,0,0,0,0,0,27,0.02,0,0,0,0,0,0,0,0,34,0
   Respiratory Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL Nursing & Medical,"144,888",99.1,"134,013",90.73,"129,035",91.84,"130,827",87.74,"136,237",89.39,"144,558",94.11,"145,965",100.04,"131,146",95.52,"138,341",89.95,"132,221",88.8,"141,200",91.87,"151,273",96.85,"1,659,704",92.96
Therapy & Ancillary Services,,,,,,,,,,,,,,,,,,,,,,,,,,
   Physical Therapy Services,"11,303",7.73,"10,337",7,"13,392",9.53,"13,534",9.08,"11,153",7.32,"9,856",6.42,"9,515",6.52,"9,797",7.14,"12,958",8.43,"11,085",7.44,"10,403",6.77,"12,524",8.02,"135,855",7.61
   Occupational Therapy Services,"12,342",8.44,"9,231",6.25,"12,736",9.06,"13,031",8.74,"10,091",6.62,"8,011",5.22,"10,413",7.14,"12,378",9.01,"14,105",9.17,"12,848",8.63,"11,236",7.31,"14,606",9.35,"141,029",7.9
   Speech Therapy Services,836,0.57,0,0,0,0,909,0.61,0,0,205,0.13,121,0.08,"1,195",0.87,640,0.42,287,0.19,893,0.58,188,0.12,"5,274",0.3
