,Income Statement Trending Detail - GGM,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/1/2025 to 6/30/2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Included:,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allure of Peru,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,July 25_Actual $,July 25_Actual / Day,August 25_Actual $,August 25_Actual / Day,September 25_Actual $,September 25_Actual / Day,October 25_Actual $,October 25_Actual / Day,November 25_Actual $,November 25_Actual / Day,December 25_Actual $,December 25_Actual / Day,January 26_Actual $,January 26_Actual / Day,February 26_Actual $,February 26_Actual / Day,March 26_Actual $,March 26_Actual / Day,April 26_Actual $,April 26_Actual / Day,May 26_Actual $,May 26_Actual / Day,June 26_Actual $,June 26_Actual / Day,TOTALS_Actual $,TOTALS_Actual / Day
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,
   Medicaid,"395,127",295.98,"413,088",295.7,"410,913",296.05,"369,135",262.73,"320,350",261.3,"389,012",262.85,"373,338",264.97,"343,174",265,"362,983",264.95,"409,339",277.33,"410,735",277.52,"364,777",278.88,"4,561,969",275.33
   Hospice,"27,562",296.37,"41,492",296.37,"42,085",296.37,"37,000",262.41,"30,470",253.92,"54,056",262.41,"29,983",265.34,"26,799",265.34,"46,435",265.34,"58,351",273.95,"2,027",675.78,"44,864",276.94,"441,125",274.16
   Medicare A,"195,908",653.03,"150,286",615.93,"180,454",649.11,"173,470",649.7,"165,678",676.24,"221,112",684.56,"231,097",700.29,"233,294",706.95,"218,569",698.3,"226,673",699.61,"284,859",691.4,"217,731",697.86,"2,499,130",679.48
   Commercial Insurance,"52,479",460.34,"77,254",508.25,"91,873",419.51,"53,007",486.3,"50,226",469.41,"119,379",523.59,"145,811",451.43,"89,223",479.69,"115,480",469.43,"122,182",462.81,"95,169",451.04,"108,419",457.46,"1,120,503",467.66
   Private Pay,"155,881",292.46,"123,863",306.59,"130,438",299.86,"104,916",303.22,"120,531",269.64,"60,990",285,"91,485",285,"108,247",287.13,"117,477",287.93,"54,150",338.44,"100,947",290.08,"89,455",277.81,"1,258,378",291.63
   Veteran Affairs,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
   Medicare / Managed Care B,"31,718",,"29,662",,"24,022",,"32,306",,"18,907",,"22,468",,"22,607",,"22,001",,"23,866",,"20,682",,"18,845",,"15,317",,"282,401",
   Private Pay Independent Living,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
   Home Care Income,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
   Daily Training Program,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
   Other,87,,"1,923",,139,,635,,578,,108,,"1,703",,75,,416,,3,,281,,435,,"6,384",
   Stimulus Income,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
   Incentive Payments,"18,546",7.81,"18,546",7.94,"18,546",7.53,"18,546",8.18,"17,166",8,"17,856",7.29,"20,481",8.21,"20,481",8.95,"20,481",8.15,"20,534",8.43,"20,534",8.37,"20,534",8.77,"232,251",8.13
TOTAL Revenue,"877,308",369.39,"856,113",366.33,"898,468",364.93,"789,014",347.89,"723,906",337.49,"884,982",361.07,"916,505",367.19,"843,294",368.41,"905,706",360.55,"911,915",374.2,"933,397",380.36,"861,533",368.02,"10,402,141",364.13
Patient Days,,,,,,,,,,,,,,,,,,,,,,,,,,
   Medicaid,"1,335",,"1,397",,"1,388",,"1,405",,"1,225",,"1,480",,"1,409",,"1,295",,"1,370",,"1,476",,"1,480",,"1,308",,"16,568",
   Hospice,93,,140,,142,,141,,120,,206,,113,,101,,175,,213,,3,,162,,"1,609",
   Medicare A,300,,244,,278,,267,,245,,323,,330,,330,,313,,324,,412,,312,,"3,678",
   Commercial Insurance,114,,152,,219,,109,,107,,228,,323,,186,,246,,264,,211,,237,,"2,396",
   Private Pay,533,,404,,435,,340,,442,,218,,321,,377,,408,,160,,348,,322,,"4,308",
   Veteran Affairs,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
   Independent Living,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
TOTAL Patient Days,"2,375",,"2,337",,"2,462",,"2,262",,"2,139",,"2,455",,"2,496",,"2,289",,"2,512",,"2,437",,"2,454",,"2,341",,"28,559",
Nursing & Medical,,,,,,,,,,,,,,,,,,,,,,,,,,
   Director Of Nursing,"10,067",4.24,"8,597",3.68,"8,438",3.43,"9,040",3.99,"9,054",4.22,"8,871",3.62,"8,918",3.57,"8,961",3.91,"9,066",3.61,"8,996",3.69,"9,066",3.69,"8,879",3.79,"107,954",3.78
   Assistant Director Of Nursing,"7,601",3.2,"7,638",3.27,"6,659",2.7,"1,904",0.84,"6,738",3.14,"8,630",3.52,"7,925",3.18,"8,333",3.64,"8,572",3.41,"7,592",3.12,"8,267",3.37,"8,290",3.54,"88,148",3.09
   Payroll RN,"72,869",30.68,"66,824",28.59,"64,087",26.03,"66,427",29.29,"64,275",29.97,"61,682",25.17,"59,947",24.02,"50,130",21.9,"55,560",22.12,"50,056",20.54,"52,129",21.24,"53,213",22.73,"717,200",25.11
   Payroll LPN,"34,691",14.61,"34,825",14.9,"35,716",14.51,"40,897",18.03,"39,372",18.36,"40,479",16.52,"46,116",18.48,"46,320",20.24,"50,513",20.11,"55,947",22.96,"57,211",23.31,"48,697",20.8,"530,786",18.58
   Payroll Aides & Orderlies,"155,904",65.64,"145,993",62.47,"154,712",62.84,"142,246",62.72,"151,314",70.54,"172,369",70.33,"164,465",65.89,"141,910",62,"155,061",61.73,"159,813",65.58,"167,254",68.16,"169,747",72.51,"1,880,788",65.84
   Payroll Nursing Clerical,"7,715",3.25,"7,615",3.26,"7,479",3.04,"7,624",3.36,"7,485",3.49,"8,478",3.46,"7,955",3.19,"7,335",3.2,"7,702",3.07,"8,508",3.49,"8,159",3.32,"7,653",3.27,"93,709",3.28
   Payroll Medical Records,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Contract RN,"13,755",5.79,"5,793",2.48,"26,888",10.92,"12,299",5.42,"8,223",3.83,"26,644",10.87,"25,687",10.29,"22,100",9.65,"14,906",5.93,"14,387",5.9,"17,675",7.2,"35,944",15.35,"224,300",7.85
   Contract LPN,882,0.37,0,0,0,0,260,0.11,0,0,"2,399",0.98,"3,868",1.55,"6,484",2.83,"2,371",0.94,"2,052",0.84,224,0.09,"1,911",0.82,"20,450",0.72
   Contract Aides & Orderlies,"4,771",2.01,"3,121",1.34,"24,585",9.99,"11,843",5.22,"3,955",1.84,"11,865",4.84,"13,543",5.43,"14,440",6.31,"8,014",3.19,"6,600",2.71,"6,704",2.73,"7,056",3.01,"116,496",4.08
   Medical Supplies,"8,808",3.71,"7,412",3.17,"10,819",4.39,"8,067",3.56,"8,778",4.09,"10,387",4.24,"8,245",3.3,"9,191",4.02,"8,443",3.36,"9,021",3.7,"9,699",3.95,"9,460",4.04,"108,330",3.79
   Covid-19 Medical Supplies,285,0.12,384,0.16,383,0.16,712,0.31,"2,534",1.18,"1,459",0.6,"2,014",0.81,0,0,141,0.06,516,0.21,390,0.16,0,0,"8,817",0.31
   Nurse Consultant,"10,001",4.21,"9,971",4.27,"10,041",4.08,"10,011",4.41,"9,951",4.64,"9,991",4.08,"11,521",4.62,"11,551",5.05,"13,242",5.27,"11,581",4.75,"11,541",4.7,"11,521",4.92,"130,923",4.58
   Medical Director,"8,000",3.37,"4,000",1.71,"2,000",0.81,0,0,"2,000",0.93,"2,000",0.82,"2,200",0.88,"2,200",0.96,0,0,"2,200",0.9,"2,200",0.9,"2,200",0.94,"29,000",1.02
   Covid-19 Telehealth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Drugs House Stock,"3,153",1.33,"2,627",1.12,"1,823",0.74,"2,354",1.04,0,0,0,0,"2,830",1.13,"2,197",0.96,"2,795",1.11,"1,404",0.58,"1,031",0.42,"7,665",3.27,"27,878",0.98
   Drugs Other,0,0,788,0.34,"1,203",0.49,0,0,0,0,0,0,973,0.39,931,0.41,"4,865",1.94,"1,192",0.49,"4,844",1.97,"2,102",0.9,"16,898",0.59
   DME Rental,"6,198",2.61,795,0.34,"3,020",1.23,"2,461",1.08,"1,323",0.62,"1,450",0.59,757,0.3,885,0.39,0,0,"3,618",1.48,"1,471",0.6,"1,812",0.77,"23,788",0.83
   Oxygen,"3,513",1.48,0,0,"1,218",0.49,"2,026",0.89,401,0.19,966,0.39,116,0.05,961,0.42,0,0,936,0.38,"1,339",0.55,"1,154",0.49,"12,630",0.44
   Ambulance Expense,106,0.04,"1,035",0.44,30,0.01,664,0.29,126,0.06,194,0.08,122,0.05,"1,631",0.71,325,0.13,15,0.01,161,0.07,15,0.01,"4,422",0.15
   Respiratory Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL Nursing & Medical,"348,318",146.66,"307,417",131.54,"359,100",145.86,"318,835",140.58,"315,529",147.1,"367,862",150.09,"367,200",147.12,"335,560",146.6,"341,575",135.98,"344,434",141.34,"359,365",146.44,"377,320",161.18,"4,142,515",145.01
Therapy & Ancillary Services,,,,,,,,,,,,,,,,,,,,,,,,,,
   Physical Therapy Services,"22,612",9.52,"22,122",9.47,"23,626",9.6,"22,170",9.78,"20,119",9.38,"24,973",10.19,"24,947",9.99,"21,526",9.4,"24,315",9.68,"23,680",9.72,"24,928",10.16,"22,472",9.6,"277,487",9.71
