,Income Statement Trending Detail - GGM,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1/1/2026 to 6/30/2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Included:,,,,,,,,,,,,,,
,Allure of Peru,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,January 26_Actual $,January 26_Actual / Day,February 26_Actual $,February 26_Actual / Day,March 26_Actual $,March 26_Actual / Day,April 26_Actual $,April 26_Actual / Day,May 26_Actual $,May 26_Actual / Day,June 26_Actual $,June 26_Actual / Day,TOTALS_Actual $,TOTALS_Actual / Day
Revenue,,,,,,,,,,,,,,
   Medicaid,"373,338",264.97,"343,174",265,"362,983",264.95,"409,339",277.33,"410,735",277.52,"364,777",278.88,"2,264,346",271.57
   Hospice,"29,983",265.34,"26,799",265.34,"46,435",265.34,"58,351",273.95,"2,027",675.78,"44,864",276.94,"208,460",271.79
   Medicare A,"231,097",700.29,"233,294",706.95,"218,569",698.3,"226,673",699.61,"284,859",691.4,"217,731",697.86,"1,412,222",698.77
   Commercial Insurance,"145,811",451.43,"89,223",479.69,"115,480",469.43,"122,182",462.81,"95,169",451.04,"108,419",457.46,"676,284",461
   Private Pay,"91,485",285,"108,247",287.13,"117,477",287.93,"54,150",338.44,"100,947",290.08,"89,455",277.81,"561,760",290.17
   Veteran Affairs,0,,0,,0,,0,,0,,0,,0,
   Medicare / Managed Care B,"22,607",,"22,001",,"23,866",,"20,682",,"18,845",,"15,317",,"123,319",
   Private Pay Independent Living,0,,0,,0,,0,,0,,0,,0,
   Home Care Income,0,,0,,0,,0,,0,,0,,0,
   Daily Training Program,0,,0,,0,,0,,0,,0,,0,
   Other,"1,703",,75,,416,,3,,281,,435,,"2,913",
   Stimulus Income,0,,0,,0,,0,,0,,0,,0,
   Incentive Payments,"20,481",8.21,"20,481",8.95,"20,481",8.15,"20,534",8.43,"20,534",8.37,"20,534",8.77,"123,046",8.47
TOTAL Revenue,"916,505",367.19,"843,294",368.41,"905,706",360.55,"911,915",374.2,"933,397",380.36,"861,533",368.02,"5,372,349",369.77
Patient Days,,,,,,,,,,,,,,
   Medicaid,"1,409",,"1,295",,"1,370",,"1,476",,"1,480",,"1,308",,"8,338",
   Hospice,113,,101,,175,,213,,3,,162,,767,
   Medicare A,330,,330,,313,,324,,412,,312,,"2,021",
   Commercial Insurance,323,,186,,246,,264,,211,,237,,"1,467",
   Private Pay,321,,377,,408,,160,,348,,322,,"1,936",
   Veteran Affairs,0,,0,,0,,0,,0,,0,,0,
   Independent Living,0,,0,,0,,0,,0,,0,,0,
TOTAL Patient Days,"2,496",,"2,289",,"2,512",,"2,437",,"2,454",,"2,341",,"14,529",
Nursing & Medical,,,,,,,,,,,,,,
   Director Of Nursing,"8,918",3.57,"8,961",3.91,"9,066",3.61,"8,996",3.69,"9,066",3.69,"8,879",3.79,"53,886",3.71
   Assistant Director Of Nursing,"7,925",3.18,"8,333",3.64,"8,572",3.41,"7,592",3.12,"8,267",3.37,"8,290",3.54,"48,979",3.37
   Payroll RN,"59,947",24.02,"50,130",21.9,"55,560",22.12,"50,056",20.54,"52,129",21.24,"53,213",22.73,"321,036",22.1
   Payroll LPN,"46,116",18.48,"46,320",20.24,"50,513",20.11,"55,947",22.96,"57,211",23.31,"48,697",20.8,"304,805",20.98
   Payroll Aides & Orderlies,"164,465",65.89,"141,910",62,"155,061",61.73,"159,813",65.58,"167,254",68.16,"169,747",72.51,"958,251",65.95
   Payroll Nursing Clerical,"7,955",3.19,"7,335",3.2,"7,702",3.07,"8,508",3.49,"8,159",3.32,"7,653",3.27,"47,313",3.26
   Payroll Medical Records,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Contract RN,"25,687",10.29,"22,100",9.65,"14,906",5.93,"14,387",5.9,"17,675",7.2,"35,944",15.35,"130,698",9
   Contract LPN,"3,868",1.55,"6,484",2.83,"2,371",0.94,"2,052",0.84,224,0.09,"1,911",0.82,"16,909",1.16
   Contract Aides & Orderlies,"13,543",5.43,"14,440",6.31,"8,014",3.19,"6,600",2.71,"6,704",2.73,"7,056",3.01,"56,356",3.88
   Medical Supplies,"8,245",3.3,"9,191",4.02,"8,443",3.36,"9,021",3.7,"9,699",3.95,"9,460",4.04,"54,059",3.72
