,Income Statement Trending Detail - GGM,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1/1/2026 to 6/30/2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Included:,,,,,,,,,,,,,,
,Allure of Mendota,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,January 26_Actual $,January 26_Actual / Day,February 26_Actual $,February 26_Actual / Day,March 26_Actual $,March 26_Actual / Day,April 26_Actual $,April 26_Actual / Day,May 26_Actual $,May 26_Actual / Day,June 26_Actual $,June 26_Actual / Day,TOTALS_Actual $,TOTALS_Actual / Day
Revenue,,,,,,,,,,,,,,
   Medicaid,"242,521",266.51,"197,986",266.47,"256,942",265.99,"235,115",273.39,"263,953",273.24,"236,075",273.55,"1,432,593",269.89
   Hospice,"24,524",266.57,"17,960",264.11,"19,460",266.57,"24,631",273.68,"25,452",273.68,"31,747",273.68,"143,774",270.25
   Medicare A,"279,053",648.96,"238,573",670.15,"255,228",695.44,"161,069",682.49,"123,503",667.58,"133,560",664.48,"1,190,986",670.98
   Commercial Insurance,"28,644",427.52,"26,448",413.25,"35,702",401.15,"43,943",399.48,"44,552",397.78,"56,377",430.36,"235,666",411.28
   Private Pay,"177,248",313.16,"187,715",310.79,"157,001",331.23,"167,607",318.64,"188,157",310.49,"204,376",309.19,"1,082,103",314.84
   Veteran Affairs,"64,265",756.05,"32,409",578.73,"43,657",574.43,"46,793",570.65,"70,704",614.82,"40,701",542.68,"298,528",610.49
   Medicare / Managed Care B,"15,409",,"18,951",,"29,365",,"27,624",,"30,503",,"33,244",,"155,096",
   Private Pay Independent Living,0,,0,,0,,0,,0,,0,,0,
   Home Care Income,0,,0,,0,,0,,0,,0,,0,
   Daily Training Program,0,,0,,0,,0,,0,,0,,0,
   Other,540,,221,,374,,7,,148,,226,,"1,517",
   Stimulus Income,0,,0,,0,,0,,0,,0,,0,
   Incentive Payments,"13,868",6.45,"13,868",7.33,"13,868",6.78,"15,407",8.09,"15,407",7.42,"15,407",7.53,"87,826",7.25
TOTAL Revenue,"846,072",393.52,"734,131",388.22,"811,597",396.87,"722,196",379.3,"762,379",367.06,"751,713",367.23,"4,628,088",382.04
Patient Days,,,,,,,,,,,,,,
   Medicaid,908,,744,,966,,860,,966,,863,,"5,307",
   Hospice,92,,68,,73,,90,,93,,116,,532,
   Medicare A,430,,356,,367,,236,,185,,201,,"1,775",
   Commercial Insurance,67,,64,,89,,110,,112,,131,,573,
   Private Pay,566,,599,,465,,526,,606,,657,,"3,419",
   Veteran Affairs,85,,56,,76,,82,,115,,75,,489,
   Independent Living,0,,0,,0,,0,,0,,0,,0,
TOTAL Patient Days,"2,148",,"1,887",,"2,036",,"1,904",,"2,077",,"2,043",,"12,095",
Nursing & Medical,,,,,,,,,,,,,,
   Director Of Nursing,"8,517",3.96,"7,868",4.16,"7,071",3.46,604,0.32,"8,419",4.05,"7,319",3.58,"39,798",3.29
   Assistant Director Of Nursing,"5,405",2.51,"3,440",1.82,"6,905",3.38,"6,751",3.55,"7,101",3.42,"7,199",3.52,"36,802",3.04
   Payroll RN,"65,735",30.57,"50,586",26.75,"54,035",26.42,"57,445",30.17,"58,217",28.03,"59,841",29.23,"345,860",28.55
   Payroll LPN,"26,342",12.25,"20,236",10.7,"25,717",12.58,"29,012",15.24,"32,877",15.83,"27,267",13.32,"161,450",13.33
   Payroll Aides & Orderlies,"126,495",58.83,"117,443",62.11,"120,329",58.84,"110,058",57.8,"124,502",59.94,"118,023",57.66,"716,850",59.18
   Payroll Nursing Clerical,"8,974",4.17,"7,624",4.03,"8,229",4.02,"8,087",4.25,"8,590",4.14,"7,619",3.72,"49,124",4.06
   Payroll Medical Records,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Contract RN,"14,762",6.87,"22,714",12.01,"32,092",15.69,"16,071",8.44,"14,807",7.13,"11,480",5.61,"111,926",9.24
   Contract LPN,"1,583",0.74,"1,303",0.69,996,0.49,577,0.3,"1,843",0.89,"1,630",0.8,"7,931",0.65
   Contract Aides & Orderlies,"2,315",1.08,"14,148",7.48,"1,117",0.55,71,0.04,0,0,"2,260",1.1,"19,911",1.64
   Medical Supplies,"7,931",3.69,"7,632",4.04,"8,776",4.29,"6,590",3.46,"9,264",4.46,"7,572",3.7,"47,766",3.94
